symbol	sector
AAPL	Information Technology
GOOGL	Information Technology
GOOG	Information Technology
MSFT	Information Technology
AMZN	Consumer Discretionary
FB	Information Technology
JPM	Financials
JNJ	Health Care
XOM	Energy
BAC	Financials
WMT	Consumer Staples
WFC	Financials
V	Information Technology
BRK.B	Financials
T	Telecommunication Services
HD	Consumer Discretionary
CVX	Energy
UNH	Health Care
INTC	Information Technology
PFE	Health Care
VZ	Telecommunication Services
PG	Consumer Staples
BA	Industrials
ORCL	Information Technology
CSCO	Information Technology
C	Financials
KO	Consumer Staples
MA	Information Technology
CMCSA	Consumer Discretionary
ABBV	Health Care
PEP	Consumer Staples
DIS	Consumer Discretionary
PM	Consumer Staples
MRK	Health Care
IBM	Information Technology
MMM	Industrials
NVDA	Information Technology
GE	Industrials
MCD	Consumer Discretionary
AMGN	Health Care
MO	Consumer Staples
NFLX	Information Technology
HON	Industrials
MDT	Health Care
GILD	Health Care
NKE	Consumer Discretionary
UTX	Industrials
BMY	Health Care
ABT	Health Care
UNP	Industrials
TXN	Information Technology
ACN	Information Technology
MS	Financials
GS	Financials
SLB	Energy
UPS	Industrials
QCOM	Information Technology
ADBE	Information Technology
AVGO	Information Technology
CAT	Industrials
PCLN	Consumer Discretionary
USB	Financials
PYPL	Information Technology
KHC	Consumer Staples
CHTR	Consumer Discretionary
BLK	Financials
LLY	Health Care
TMO	Health Care
LOW	Consumer Discretionary
COST	Consumer Staples
AXP	Financials
CRM	Information Technology
SBUX	Consumer Discretionary
CVS	Consumer Staples
CELG	Health Care
TWX	Consumer Discretionary
PNC	Financials
WBA	Consumer Staples
SCHW	Financials
NEE	Utilities
BIIB	Health Care
CB	Financials
FDX	Industrials
DHR	Health Care
FOX	Consumer Discretionary
MDLZ	Consumer Staples
COP	Energy
GD	Industrials
CL	Consumer Staples
GM	Consumer Discretionary
ANTM	Health Care
EOG	Energy
AMT	Real Estate
AET	Health Care
RTN	Industrials
NOC	Industrials
SYK	Health Care
AGN	Health Care
BK	Financials
ITW	Industrials
